
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	### TA - Tier 1 Agent 	# -1541.10 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4599.18 	###

	### GigaBot      	#  3718.13 	###

	### HTandRX's Agent 	#  3628.00 	###

	### sudo         	#  3079.48 	###

	### jet2holiday  	#  2646.71 	###

	### RandomBot67  	#  2314.73 	###

	### qwer         	#  1478.85 	###

	### 67           	#  1214.28 	###

	###              	#   292.40 	###

	### TA - Dust II B Anchor (Tier 2) 	#    71.62 	###

	### 67 Random Search v2 	#    25.19 	###

	### NikhilxCamilo 	#    -0.39 	###

	### Tier 3 Agent 	#    -5.30 	###

	### orange       	#  -140.93 	###

	### TA - Tier 1 Agent 	#  -960.25 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  5686.20 	###

	### TA - Dust II B Anchor (Tier 2) 	#  5443.85 	###

	### 67 Random Search v2 	#  3229.40 	###

	### brawl_stars  	#  2682.30 	###

	### sudo         	#  2148.99 	###

	### NikhilxCamilo 	#  1840.62 	###

	###              	#   898.71 	###

	### qwer         	#   662.70 	###

	### RandomBot67  	#   361.89 	###

	### jet2holiday  	#   318.97 	###

	### 67           	#     0.00 	###

	### HTandRX's Agent 	#     0.00 	###

	### Tier 3 Agent 	#    -4.21 	###

	### TA - Tier 1 Agent 	#  -301.89 	###

	### orange       	#  -990.06 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  3340.47 	###

	### sudo         	#  3173.27 	###

	### HTandRX's Agent 	#  3052.76 	###

	### 67           	#  2130.73 	###

	### RandomBot67  	#  2007.19 	###

	### jet2holiday  	#  1961.65 	###

	### GigaBot      	#  1176.76 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1137.90 	###

	### 67 Random Search v2 	#   895.30 	###

	### TA - Tier 1 Agent 	#   526.96 	###

	### NikhilxCamilo 	#   345.02 	###

	### Tier 3 Agent 	#    -5.88 	###

	###              	#   -19.95 	###

	### orange       	#  -200.79 	###

	### brawl_stars  	# -1159.53 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5252.58 	###

	### qwer         	#  2831.52 	###

	### 67 Random Search v2 	#  2617.72 	###

	### HTandRX's Agent 	#  1915.07 	###

	### GigaBot      	#  1884.78 	###

	### RandomBot67  	#  1665.18 	###

	### sudo         	#  1502.21 	###

	### NikhilxCamilo 	#  1437.09 	###

	### brawl_stars  	#  1359.82 	###

	### 67           	#   717.78 	###

	### TA - Tier 1 Agent 	#   362.14 	###

	### TA - Dust II B Anchor (Tier 2) 	#    59.64 	###

	### Tier 3 Agent 	#    -4.40 	###

	### orange       	#  -244.60 	###

	### jet2holiday  	#  -247.69 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  4149.66 	###

	### sudo         	#  3444.58 	###

	### 67           	#  3100.76 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2801.66 	###

	### HTandRX's Agent 	#  2648.45 	###

	### qwer         	#  2435.92 	###

	### orange       	#  2396.97 	###

	###              	#  2163.64 	###

	### GigaBot      	#  2027.73 	###

	### RandomBot67  	#   936.47 	###

	### brawl_stars  	#   251.56 	###

	### Tier 3 Agent 	#    -2.93 	###

	### jet2holiday  	#  -139.62 	###

	### NikhilxCamilo 	#  -350.06 	###

	### TA - Tier 1 Agent 	#  -738.65 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4971.87 	###

	### 67 Random Search v2 	#  2773.11 	###

	### 67           	#  2379.71 	###

	### jet2holiday  	#  2301.16 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1802.39 	###

	### qwer         	#  1665.19 	###

	### GigaBot      	#  1476.38 	###

	### Tier 3 Agent 	#  1175.77 	###

	###              	#  1167.39 	###

	### NikhilxCamilo 	#  1154.43 	###

	### RandomBot67  	#   572.01 	###

	### sudo         	#   455.55 	###

	### TA - Tier 1 Agent 	#   322.60 	###

	### HTandRX's Agent 	#     0.00 	###

	### orange       	#  -246.63 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  3149.11 	###

	### 67 Random Search v2 	#  2503.33 	###

	### sudo         	#  2358.90 	###

	### jet2holiday  	#  2276.64 	###

	### brawl_stars  	#  1807.97 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1552.44 	###

	### NikhilxCamilo 	#  1509.41 	###

	### GigaBot      	#  1473.63 	###

	###              	#  1447.79 	###

	### HTandRX's Agent 	#   615.79 	###

	### RandomBot67  	#   452.14 	###

	### qwer         	#    70.52 	###

	### Tier 3 Agent 	#    -3.47 	###

	### TA - Tier 1 Agent 	#  -646.89 	###

	### orange       	# -1204.81 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4258.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3748.24 	###

	### sudo         	#  3374.83 	###

	### jet2holiday  	#  1608.68 	###

	### 67           	#  1554.05 	###

	### qwer         	#  1522.97 	###

	### GigaBot      	#  1239.77 	###

	### brawl_stars  	#  1121.74 	###

	### NikhilxCamilo 	#   675.35 	###

	### HTandRX's Agent 	#   567.38 	###

	### 67 Random Search v2 	#   120.66 	###

	### TA - Tier 1 Agent 	#     5.58 	###

	### Tier 3 Agent 	#    -3.08 	###

	### RandomBot67  	#  -201.76 	###

	### orange       	#  -284.73 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4002.72 	###

	### GigaBot      	#  3695.88 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1538.85 	###

	### sudo         	#  1299.42 	###

	### 67 Random Search v2 	#  1236.87 	###

	### orange       	#  1234.12 	###

	### RandomBot67  	#  1001.09 	###

	### qwer         	#   668.83 	###

	### brawl_stars  	#   630.69 	###

	### jet2holiday  	#   540.77 	###

	###              	#   459.76 	###

	### HTandRX's Agent 	#     0.00 	###

	### Tier 3 Agent 	#    -2.78 	###

	### NikhilxCamilo 	#  -151.61 	###

	### TA - Tier 1 Agent 	#  -180.38 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4218.52 	###

	### GigaBot      	#  2853.56 	###

	###              	#  2474.26 	###

	### brawl_stars  	#  2409.93 	###

	### RandomBot67  	#  2259.24 	###

	### qwer         	#  1973.30 	###

	### sudo         	#  1339.44 	###

	### 67           	#  1313.45 	###

	### jet2holiday  	#   871.70 	###

	### HTandRX's Agent 	#   790.20 	###

	### TA - Tier 1 Agent 	#   492.14 	###

	### 67 Random Search v2 	#   221.38 	###

	### Tier 3 Agent 	#    -6.98 	###

	### NikhilxCamilo 	#   -65.86 	###

	### orange       	# -1372.49 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  6280.83 	###

	### brawl_stars  	#  4606.13 	###

	### GigaBot      	#  4372.33 	###

	### qwer         	#  2721.74 	###

	### 67           	#  2543.58 	###

	###              	#  2500.49 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2381.02 	###

	### RandomBot67  	#   967.77 	###

	### NikhilxCamilo 	#   624.41 	###

	### 67 Random Search v2 	#   418.08 	###

	### HTandRX's Agent 	#     0.00 	###

	### Tier 3 Agent 	#    -7.24 	###

	### jet2holiday  	#   -75.73 	###

	### TA - Tier 1 Agent 	# -1105.39 	###

	### orange       	# -1636.51 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3932.72 	###

	### 67 Random Search v2 	#  3595.97 	###

	### GigaBot      	#  3470.79 	###

	### sudo         	#  2890.74 	###

	###              	#  2053.44 	###

	### brawl_stars  	#  1751.91 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1414.37 	###

	### NikhilxCamilo 	#  1344.56 	###

	### 67           	#  1238.25 	###

	### RandomBot67  	#   993.55 	###

	### jet2holiday  	#   710.22 	###

	### Tier 3 Agent 	#    -3.76 	###

	### qwer         	#  -176.53 	###

	### orange       	#  -829.26 	###

	### TA - Tier 1 Agent 	#  -865.40 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4854.04 	###

	### 67 Random Search v2 	#  4018.55 	###

	### GigaBot      	#  1858.72 	###

	### qwer         	#  1439.21 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1171.93 	###

	### brawl_stars  	#   995.62 	###

	### HTandRX's Agent 	#   961.24 	###

	### 67           	#   863.10 	###

	### NikhilxCamilo 	#   683.97 	###

	### RandomBot67  	#   517.75 	###

	### jet2holiday  	#   307.80 	###

	### sudo         	#   189.44 	###

	### orange       	#   102.21 	###

	### Tier 3 Agent 	#    -2.48 	###

	### TA - Tier 1 Agent 	#  -910.22 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  3548.81 	###

	### HTandRX's Agent 	#  3314.31 	###

	###              	#  2278.64 	###

	### qwer         	#  1298.84 	###

	### 67 Random Search v2 	#  1100.73 	###

	### RandomBot67  	#  1004.16 	###

	### TA - Dust II B Anchor (Tier 2) 	#   999.13 	###

	### NikhilxCamilo 	#   793.70 	###

	### TA - Tier 1 Agent 	#   728.16 	###

	### sudo         	#   633.72 	###

	### orange       	#   586.55 	###

	### 67           	#   363.23 	###

	### Tier 3 Agent 	#    -5.26 	###

	### jet2holiday  	#  -444.44 	###

	### brawl_stars  	# -1240.10 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  4042.21 	###

	### RandomBot67  	#  2761.95 	###

	### sudo         	#  2271.31 	###

	### GigaBot      	#  1671.34 	###

	### HTandRX's Agent 	#  1456.42 	###

	### jet2holiday  	#  1036.28 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1011.84 	###

	### 67           	#   947.91 	###

	### qwer         	#   349.50 	###

	### NikhilxCamilo 	#   297.70 	###

	###              	#   143.60 	###

	### Tier 3 Agent 	#    -4.30 	###

	### TA - Tier 1 Agent 	#  -851.81 	###

	### orange       	# -1442.20 	###

	### brawl_stars  	# -1687.46 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4780.46 	###

	### qwer         	#  3654.79 	###

	### orange       	#  2067.25 	###

	### 67 Random Search v2 	#  2006.74 	###

	###              	#  1759.54 	###

	### 67           	#  1556.35 	###

	### brawl_stars  	#  1556.25 	###

	### jet2holiday  	#  1081.22 	###

	### RandomBot67  	#   756.40 	###

	### sudo         	#   198.03 	###

	### HTandRX's Agent 	#    -4.04 	###

	### Tier 3 Agent 	#   -10.40 	###

	### NikhilxCamilo 	#  -102.56 	###

	### GigaBot      	#  -395.55 	###

	### TA - Tier 1 Agent 	# -1055.68 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  3446.69 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2538.13 	###

	### brawl_stars  	#  1962.30 	###

	### NikhilxCamilo 	#  1645.62 	###

	### GigaBot      	#  1601.84 	###

	### HTandRX's Agent 	#  1096.46 	###

	###              	#   945.20 	###

	### sudo         	#   925.67 	###

	### qwer         	#   801.21 	###

	### 67 Random Search v2 	#   737.32 	###

	### 67           	#   645.24 	###

	### jet2holiday  	#   198.70 	###

	### Tier 3 Agent 	#    -7.53 	###

	### TA - Tier 1 Agent 	#  -483.47 	###

	### orange       	#  -954.58 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4572.14 	###

	### 67           	#  3363.44 	###

	### brawl_stars  	#  2341.31 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2148.32 	###

	###              	#  2074.66 	###

	### NikhilxCamilo 	#  1974.97 	###

	### jet2holiday  	#  1628.08 	###

	### TA - Tier 1 Agent 	#  1342.02 	###

	### 67 Random Search v2 	#  1254.76 	###

	### RandomBot67  	#   987.57 	###

	### qwer         	#   691.88 	###

	### sudo         	#   622.10 	###

	### HTandRX's Agent 	#   129.59 	###

	### Tier 3 Agent 	#    -5.82 	###

	### orange       	# -1761.10 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4189.65 	###

	###              	#  2547.24 	###

	### sudo         	#  2229.85 	###

	### 67 Random Search v2 	#  1777.28 	###

	### qwer         	#  1622.68 	###

	### 67           	#  1237.74 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1160.34 	###

	### NikhilxCamilo 	#   850.06 	###

	### RandomBot67  	#   714.23 	###

	### orange       	#   536.39 	###

	### HTandRX's Agent 	#   218.86 	###

	### Tier 3 Agent 	#    27.30 	###

	### brawl_stars  	#  -214.92 	###

	### TA - Tier 1 Agent 	#  -582.31 	###

	### jet2holiday  	#  -792.93 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4129.83 	###

	### 67           	#  3657.21 	###

	### HTandRX's Agent 	#  2704.08 	###

	### 67 Random Search v2 	#  2031.36 	###

	### qwer         	#  1826.05 	###

	### RandomBot67  	#  1557.33 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1365.32 	###

	### sudo         	#   819.50 	###

	### GigaBot      	#    38.14 	###

	### NikhilxCamilo 	#    19.16 	###

	### Tier 3 Agent 	#    -6.46 	###

	### jet2holiday  	#  -134.34 	###

	### brawl_stars  	#  -779.05 	###

	### orange       	#  -922.62 	###

	### TA - Tier 1 Agent 	# -4261.05 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3853.96 	###

	###              	#  3570.31 	###

	### qwer         	#  2779.97 	###

	### GigaBot      	#  2502.15 	###

	### HTandRX's Agent 	#  2394.15 	###

	### RandomBot67  	#  2313.74 	###

	### 67           	#  2007.15 	###

	### orange       	#  1935.12 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1489.80 	###

	### 67 Random Search v2 	#   840.42 	###

	### brawl_stars  	#   752.59 	###

	### sudo         	#   164.60 	###

	### Tier 3 Agent 	#    -9.05 	###

	### NikhilxCamilo 	#   -54.03 	###

	### TA - Tier 1 Agent 	# -1938.64 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4570.98 	###

	### sudo         	#  3748.36 	###

	### RandomBot67  	#  2925.71 	###

	###              	#  2455.60 	###

	### jet2holiday  	#  1994.75 	###

	### HTandRX's Agent 	#  1888.69 	###

	### qwer         	#  1324.39 	###

	### 67           	#  1296.79 	###

	### 67 Random Search v2 	#   372.75 	###

	### orange       	#   281.54 	###

	### NikhilxCamilo 	#   194.69 	###

	### GigaBot      	#   102.68 	###

	### Tier 3 Agent 	#    -4.95 	###

	### brawl_stars  	#  -529.77 	###

	### TA - Tier 1 Agent 	# -1179.28 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  6245.62 	###

	### qwer         	#  3785.61 	###

	### 67 Random Search v2 	#  3510.77 	###

	### GigaBot      	#  3419.09 	###

	### NikhilxCamilo 	#  2859.05 	###

	### HTandRX's Agent 	#  2518.48 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2308.42 	###

	### brawl_stars  	#  1732.44 	###

	### 67           	#   934.14 	###

	### sudo         	#   136.50 	###

	### RandomBot67  	#    62.58 	###

	### Tier 3 Agent 	#    -9.40 	###

	### TA - Tier 1 Agent 	#  -383.54 	###

	### orange       	#  -510.81 	###

	### jet2holiday  	#  -690.66 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5184.88 	###

	### 67           	#  2822.00 	###

	### qwer         	#  2317.53 	###

	### GigaBot      	#  2215.41 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1542.42 	###

	### RandomBot67  	#  1294.94 	###

	###              	#  1204.69 	###

	### jet2holiday  	#   887.76 	###
